ca_score,participation,exam_score,total,performance
22,3,35,60,Pass
24,5,63,92,Distinction
10,0,3,13,Fail
2,1,20,23,Fail
25,4,65,94,Distinction
19,2,36,57,Pass
10,2,9,21,Fail
11,2,29,42,At Risk
2,2,19,23,Fail
12,1,43,56,Pass
18,3,42,63,Pass
21,4,53,78,Distinction
1,2,27,30,Fail
12,2,2,16,Fail
23,4,52,79,Distinction
25,4,54,83,Distinction
22,3,42,67,Pass
21,4,48,73,Distinction
17,2,47,66,Pass
17,1,40,58,Pass
14,4,49,67,Pass
21,1,33,55,Pass
22,1,49,72,Distinction
27,3,56,86,Distinction
20,3,41,64,Pass
12,1,29,42,At Risk
29,3,51,83,Distinction
21,3,60,84,Distinction
17,1,27,45,Pass
15,3,27,45,Pass
14,3,38,55,Pass
24,4,58,86,Distinction
18,3,39,60,Pass
11,0,18,29,Fail
6,0,19,25,Fail
13,2,29,44,At Risk
12,2,10,24,Fail
12,2,26,40,At Risk
21,2,34,57,Pass
28,3,50,81,Distinction
21,4,44,69,Pass
30,4,51,85,Distinction
20,3,64,87,Distinction
12,3,30,45,Pass
18,2,29,49,Pass
19,4,48,71,Distinction
25,3,64,92,Distinction
10,2,44,56,Pass
6,1,2,9,Fail
10,4,41,55,Pass
11,2,46,59,Pass
0,0,18,18,Fail
14,4,30,48,Pass
3,2,10,15,Fail
10,3,30,43,At Risk
13,2,30,45,Pass
10,1,30,41,At Risk
12,4,28,44,At Risk
2,2,18,22,Fail
16,4,33,53,Pass
16,2,32,50,Pass
11,0,24,35,Fail
9,2,6,17,Fail
19,4,49,72,Distinction
10,2,25,37,Fail
11,0,4,15,Fail
26,3,53,82,Distinction
12,4,48,64,Pass
10,4,44,58,Pass
7,1,7,15,Fail
12,4,49,65,Pass
22,2,38,62,Pass
15,3,40,58,Pass
23,3,48,74,Distinction
4,2,2,8,Fail
10,4,36,50,Pass
15,3,46,64,Pass
5,1,12,18,Fail
17,3,26,46,Pass
10,4,39,53,Pass
14,4,40,58,Pass
12,4,41,57,Pass
11,1,28,40,At Risk
15,3,33,51,Pass
20,4,65,89,Distinction
21,1,44,66,Pass
14,4,47,65,Pass
12,4,42,58,Pass
15,2,27,44,At Risk
17,2,39,58,Pass
21,5,54,80,Distinction
20,3,53,76,Distinction
16,1,34,51,Pass
22,4,57,83,Distinction
6,0,3,9,Fail
20,4,60,84,Distinction
2,2,14,18,Fail
11,4,47,62,Pass
12,1,46,59,Pass
15,1,44,60,Pass
5,2,27,34,Fail
17,1,36,54,Pass
26,4,57,87,Distinction
2,2,7,11,Fail
22,2,34,58,Pass
10,4,43,57,Pass
16,2,29,47,Pass
6,2,8,16,Fail
10,2,25,37,Fail
15,4,49,68,Pass
14,1,40,55,Pass
14,2,47,63,Pass
9,2,4,15,Fail
12,1,27,40,At Risk
0,1,13,14,Fail
24,4,60,88,Distinction
23,3,49,75,Distinction
19,2,29,50,Pass
23,5,54,82,Distinction
19,4,25,48,Pass
22,4,40,66,Pass
6,1,16,23,Fail
30,4,47,81,Distinction
10,1,43,54,Pass
22,3,45,70,Distinction
20,4,37,61,Pass
1,0,18,19,Fail
16,1,32,49,Pass
19,2,26,47,Pass
16,4,45,65,Pass
20,1,48,69,Pass
14,1,49,64,Pass
14,1,48,63,Pass
20,5,60,85,Distinction
0,2,23,25,Fail
24,3,57,84,Distinction
12,1,41,54,Pass
13,4,49,66,Pass
20,3,41,64,Pass
12,0,18,30,Fail
6,1,19,26,Fail
14,1,27,42,At Risk
13,3,45,61,Pass
26,3,51,80,Distinction
9,1,6,16,Fail
29,3,47,79,Distinction
30,5,62,97,Distinction
28,4,56,88,Distinction
25,5,58,88,Distinction
19,1,42,62,Pass
21,3,49,73,Distinction
7,0,0,7,Fail
20,5,51,76,Distinction
23,4,63,90,Distinction
25,5,54,84,Distinction
26,4,47,77,Distinction
11,4,44,59,Pass
12,2,8,22,Fail
12,1,49,62,Pass
10,1,48,59,Pass
14,2,36,52,Pass
24,4,65,93,Distinction
24,5,63,92,Distinction
21,5,53,79,Distinction
0,0,21,21,Fail
16,1,35,52,Pass
17,2,36,55,Pass
4,1,27,32,Fail
17,2,42,61,Pass
14,1,28,43,At Risk
25,5,61,91,Distinction
14,4,37,55,Pass
22,1,38,61,Pass
5,1,18,24,Fail
18,2,34,54,Pass
21,5,57,83,Distinction
7,0,21,28,Fail
20,5,65,90,Distinction
18,2,41,61,Pass
21,3,47,71,Distinction
4,2,5,11,Fail
14,3,29,46,Pass
24,5,49,78,Distinction
19,2,43,64,Pass
8,1,0,9,Fail
23,4,45,72,Distinction
11,4,32,47,Pass
9,1,21,31,Fail
30,4,56,90,Distinction
24,4,61,89,Distinction
6,2,4,12,Fail
11,3,43,57,Pass
21,4,62,87,Distinction
20,3,26,49,Pass
15,1,48,64,Pass
26,4,63,93,Distinction
22,4,34,60,Pass
29,3,64,96,Distinction
11,2,45,58,Pass
20,3,40,63,Pass
18,3,47,68,Pass
20,2,40,62,Pass
17,4,48,69,Pass
12,3,42,57,Pass
12,3,45,60,Pass
11,1,28,40,At Risk
5,0,4,9,Fail
19,2,26,47,Pass
9,0,26,35,Fail
8,2,24,34,Fail
17,2,35,54,Pass
20,4,48,72,Distinction
20,5,64,89,Distinction
7,1,13,21,Fail
16,2,48,66,Pass
19,2,48,69,Pass
2,2,22,26,Fail
21,1,42,64,Pass
12,3,39,54,Pass
6,0,27,33,Fail
8,0,6,14,Fail
11,0,16,27,Fail
18,4,34,56,Pass
21,5,48,74,Distinction
11,3,32,46,Pass
21,3,34,58,Pass
15,4,26,45,Pass
10,0,5,15,Fail
10,1,46,57,Pass
5,2,15,22,Fail
10,1,29,40,At Risk
27,5,53,85,Distinction
2,2,7,11,Fail
17,3,30,50,Pass
21,3,28,52,Pass
5,0,29,34,Fail
2,1,24,27,Fail
20,4,43,67,Pass
24,4,48,76,Distinction
10,4,41,55,Pass
10,2,38,50,Pass
14,2,35,51,Pass
30,5,45,80,Distinction
17,2,29,48,Pass
11,1,12,24,Fail
13,1,29,43,At Risk
8,2,14,24,Fail
16,3,41,60,Pass
21,4,65,90,Distinction
18,2,36,56,Pass
10,4,46,60,Pass
12,2,8,22,Fail
22,3,49,74,Distinction
30,4,48,82,Distinction
19,1,42,62,Pass
26,4,63,93,Distinction
10,3,39,52,Pass
10,1,39,50,Pass
14,4,32,50,Pass
12,2,30,44,At Risk
12,4,34,50,Pass
12,0,19,31,Fail
20,4,30,54,Pass
24,5,45,74,Distinction
5,1,9,15,Fail
19,1,46,66,Pass
23,3,64,90,Distinction
22,4,29,55,Pass
13,4,37,54,Pass
12,3,28,43,At Risk
20,3,29,52,Pass
29,4,50,83,Distinction
19,2,35,56,Pass
12,1,17,30,Fail
17,4,35,56,Pass
23,3,49,75,Distinction
19,1,33,53,Pass
22,2,32,56,Pass
30,5,45,80,Distinction
4,1,13,18,Fail
6,0,0,6,Fail
26,5,52,83,Distinction
18,1,33,52,Pass
8,0,25,33,Fail
13,1,35,49,Pass
26,4,46,76,Distinction
30,5,56,91,Distinction
25,3,51,79,Distinction
4,0,16,20,Fail
30,4,62,96,Distinction
16,1,44,61,Pass
13,2,46,61,Pass
12,0,6,18,Fail
22,2,47,71,Distinction
17,3,41,61,Pass
7,2,17,26,Fail
12,3,42,57,Pass
21,1,42,64,Pass
12,3,28,43,At Risk
12,2,6,20,Fail
29,4,63,96,Distinction
21,1,47,69,Pass
21,5,52,78,Distinction
6,2,23,31,Fail
12,1,24,37,Fail
22,5,45,72,Distinction
17,2,27,46,Pass
7,1,10,18,Fail
23,3,65,91,Distinction
16,4,42,62,Pass
6,0,22,28,Fail
22,3,62,87,Distinction
24,5,54,83,Distinction
22,5,56,83,Distinction
24,4,53,81,Distinction
21,3,44,68,Pass
27,3,54,84,Distinction
20,2,47,69,Pass
20,4,63,87,Distinction
18,4,26,48,Pass
16,1,46,63,Pass
13,2,37,52,Pass
14,3,30,47,Pass
24,4,48,76,Distinction
11,1,29,41,At Risk
19,4,47,70,Distinction
5,0,26,31,Fail
25,5,52,82,Distinction
22,1,45,68,Pass
12,0,25,37,Fail
19,2,26,47,Pass
10,0,18,28,Fail
2,1,28,31,Fail
17,3,28,48,Pass
16,4,27,47,Pass
26,5,49,80,Distinction
19,4,39,62,Pass
12,4,35,51,Pass
30,3,55,88,Distinction
19,2,45,66,Pass
17,1,25,43,At Risk
20,4,34,58,Pass
12,3,42,57,Pass
22,4,50,76,Distinction
12,1,36,49,Pass
20,3,61,84,Distinction
26,3,59,88,Distinction
7,2,7,16,Fail
10,3,29,42,At Risk
15,4,49,68,Pass
30,4,53,87,Distinction
29,5,61,95,Distinction
4,1,25,30,Fail
14,3,33,50,Pass
7,1,26,34,Fail
21,5,64,90,Distinction
21,5,54,80,Distinction
17,3,36,56,Pass
1,2,4,7,Fail
19,3,47,69,Pass
7,0,3,10,Fail
28,3,62,93,Distinction
22,2,36,60,Pass
6,2,9,17,Fail
30,5,57,92,Distinction
12,3,31,46,Pass
12,1,16,29,Fail
14,4,49,67,Pass
21,3,49,73,Distinction
28,5,51,84,Distinction
10,2,41,53,Pass
7,1,17,25,Fail
14,1,40,55,Pass
8,2,16,26,Fail
13,4,29,46,Pass
30,4,51,85,Distinction
27,5,57,89,Distinction
26,5,52,83,Distinction
25,3,63,91,Distinction
19,3,26,48,Pass
18,1,27,46,Pass
24,3,59,86,Distinction
8,2,19,29,Fail
30,4,47,81,Distinction
20,5,47,72,Distinction
7,0,14,21,Fail
3,1,4,8,Fail
8,2,26,36,Fail
8,2,24,34,Fail
29,3,59,91,Distinction
14,3,26,43,At Risk
15,4,29,48,Pass
1,1,4,6,Fail
12,0,12,24,Fail
27,3,63,93,Distinction
27,4,52,83,Distinction
22,1,30,53,Pass
17,4,25,46,Pass
8,0,10,18,Fail
4,1,3,8,Fail
15,4,31,50,Pass
29,3,63,95,Distinction
29,4,55,88,Distinction
6,2,17,25,Fail
26,4,57,87,Distinction
10,1,41,52,Pass
1,0,2,3,Fail
2,1,6,9,Fail
11,3,39,53,Pass
25,4,48,77,Distinction
10,4,46,60,Pass
15,1,46,62,Pass
20,2,42,64,Pass
23,5,47,75,Distinction
21,3,35,59,Pass
22,5,46,73,Distinction
22,4,41,67,Pass
8,2,14,24,Fail
30,4,59,93,Distinction
15,3,27,45,Pass
27,3,65,95,Distinction
24,5,64,93,Distinction
18,1,27,46,Pass
19,4,30,53,Pass
12,2,16,30,Fail
21,2,39,62,Pass
20,4,38,62,Pass
12,0,7,19,Fail
21,5,47,73,Distinction
24,4,47,75,Distinction
8,1,13,22,Fail
21,4,28,53,Pass
18,4,46,68,Pass
14,2,48,64,Pass
22,1,32,55,Pass
11,2,39,52,Pass
20,1,49,70,Distinction
25,3,52,80,Distinction
12,4,33,49,Pass
8,1,14,23,Fail
15,4,44,63,Pass
17,4,42,63,Pass
11,1,25,37,Fail
20,3,64,87,Distinction
16,2,30,48,Pass
19,2,39,60,Pass
6,0,7,13,Fail
12,3,30,45,Pass
18,3,33,54,Pass
17,4,42,63,Pass
13,2,39,54,Pass
26,5,64,95,Distinction
15,2,46,63,Pass
12,3,33,48,Pass
10,1,21,32,Fail
21,1,49,71,Distinction
29,5,58,92,Distinction
17,1,47,65,Pass
12,4,42,58,Pass
2,1,4,7,Fail
28,5,47,80,Distinction
2,2,28,32,Fail
0,2,11,13,Fail
4,2,25,31,Fail
13,1,28,42,At Risk
13,4,48,65,Pass
12,4,33,49,Pass
14,2,28,44,At Risk
21,4,51,76,Distinction
12,2,46,60,Pass
12,1,42,55,Pass
10,3,32,45,Pass
16,2,36,54,Pass
11,3,29,43,At Risk
28,4,59,91,Distinction
16,1,44,61,Pass
15,1,49,65,Pass
21,5,49,75,Distinction
0,0,22,22,Fail
20,2,27,49,Pass
19,1,34,54,Pass
18,1,29,48,Pass
10,0,24,34,Fail
3,0,10,13,Fail
14,4,29,47,Pass
27,5,59,91,Distinction
20,1,44,65,Pass
11,1,29,41,At Risk
20,5,47,72,Distinction
14,3,29,46,Pass
2,1,11,14,Fail
4,1,23,28,Fail
11,1,42,54,Pass
26,5,59,90,Distinction
16,4,30,50,Pass
12,1,9,22,Fail
17,2,45,64,Pass
7,0,5,12,Fail
25,5,46,76,Distinction
16,2,35,53,Pass
11,2,41,54,Pass
27,3,56,86,Distinction
8,1,3,12,Fail
12,3,40,55,Pass
24,3,46,73,Distinction
25,5,53,83,Distinction
28,3,53,84,Distinction
8,2,3,13,Fail
15,2,28,45,Pass
15,2,42,59,Pass
26,5,57,88,Distinction
27,4,51,82,Distinction
0,1,6,7,Fail
12,4,49,65,Pass
10,3,36,49,Pass
10,2,7,19,Fail
19,2,38,59,Pass
14,2,32,48,Pass
15,4,45,64,Pass
28,3,46,77,Distinction
21,4,39,64,Pass
16,2,38,56,Pass
20,3,37,60,Pass
30,5,60,95,Distinction
21,3,49,73,Distinction
12,3,28,43,At Risk
25,5,46,76,Distinction
3,0,19,22,Fail
22,3,27,52,Pass
19,4,42,65,Pass
22,4,49,75,Distinction
16,3,36,55,Pass
12,2,6,20,Fail
10,2,34,46,Pass
23,4,51,78,Distinction
27,3,54,84,Distinction
12,2,21,35,Fail
25,3,53,81,Distinction
17,2,49,68,Pass
27,3,49,79,Distinction
17,3,28,48,Pass
19,1,42,62,Pass
29,3,62,94,Distinction
0,2,11,13,Fail
26,3,61,90,Distinction
4,2,2,8,Fail
20,2,33,55,Pass
22,1,49,72,Distinction
22,5,65,92,Distinction
19,2,31,52,Pass
20,3,48,71,Distinction
2,1,5,8,Fail
16,1,38,55,Pass
14,1,28,43,At Risk
7,0,26,33,Fail
16,4,37,57,Pass
11,4,29,44,At Risk
4,1,7,12,Fail
15,4,27,46,Pass
1,2,11,14,Fail
10,3,26,39,Fail
13,4,46,63,Pass
13,1,37,51,Pass
18,3,40,61,Pass
18,3,40,61,Pass
11,2,15,28,Fail
16,4,43,63,Pass
4,0,24,28,Fail
13,2,46,61,Pass
6,0,20,26,Fail
25,4,58,87,Distinction
6,1,12,19,Fail
14,2,49,65,Pass
20,3,44,67,Pass
19,4,42,65,Pass
12,2,35,49,Pass
21,1,44,66,Pass
0,1,5,6,Fail
22,4,54,80,Distinction
25,5,60,90,Distinction
8,2,20,30,Fail
10,1,2,13,Fail
13,2,34,49,Pass
28,3,45,76,Distinction
20,4,60,84,Distinction
23,5,47,75,Distinction
18,1,45,64,Pass
4,1,3,8,Fail
3,0,27,30,Fail
23,4,50,77,Distinction
10,1,1,12,Fail
12,3,43,58,Pass
11,2,49,62,Pass
10,1,28,39,Fail
18,3,43,64,Pass
4,0,27,31,Fail
12,3,40,55,Pass
10,4,28,42,At Risk
20,3,51,74,Distinction
12,1,6,19,Fail
14,4,27,45,Pass
21,2,38,61,Pass
12,1,4,17,Fail
1,1,26,28,Fail
15,3,45,63,Pass
29,5,49,83,Distinction
4,1,17,22,Fail
14,2,29,45,Pass
23,3,47,73,Distinction
20,3,45,68,Pass
26,3,48,77,Distinction
21,5,53,79,Distinction
22,2,34,58,Pass
20,3,61,84,Distinction
18,1,26,45,Pass
22,1,34,57,Pass
27,3,55,85,Distinction
17,3,46,66,Pass
10,4,47,61,Pass
12,1,36,49,Pass
14,4,37,55,Pass
6,2,0,8,Fail
7,2,23,32,Fail
3,0,7,10,Fail
13,3,44,60,Pass
26,5,63,94,Distinction
4,0,29,33,Fail
27,4,50,81,Distinction
11,0,7,18,Fail
28,3,46,77,Distinction
12,1,28,41,At Risk
18,1,49,68,Pass
11,2,45,58,Pass
10,1,21,32,Fail
21,2,35,58,Pass
0,1,22,23,Fail
7,2,13,22,Fail
18,2,46,66,Pass
13,1,36,50,Pass
0,0,2,2,Fail
16,3,41,60,Pass
11,1,37,49,Pass
7,1,7,15,Fail
16,4,35,55,Pass
15,3,49,67,Pass
21,4,65,90,Distinction
20,2,39,61,Pass
17,4,37,58,Pass
14,1,25,40,At Risk
15,3,47,65,Pass
16,4,39,59,Pass
24,5,52,81,Distinction
17,1,36,54,Pass
10,4,32,46,Pass
9,1,10,20,Fail
14,4,38,56,Pass
20,2,33,55,Pass
18,4,28,50,Pass
9,1,21,31,Fail
28,4,65,97,Distinction
20,4,43,67,Pass
25,5,49,79,Distinction
12,1,23,36,Fail
9,0,5,14,Fail
17,3,45,65,Pass
3,0,12,15,Fail
6,2,3,11,Fail
12,4,29,45,Pass
16,4,28,48,Pass
7,1,29,37,Fail
22,3,58,83,Distinction
7,0,11,18,Fail
25,3,48,76,Distinction
22,4,47,73,Distinction
10,2,44,56,Pass
11,2,14,27,Fail
25,3,45,73,Distinction
13,4,40,57,Pass
5,2,13,20,Fail
16,1,40,57,Pass
3,0,9,12,Fail
22,3,41,66,Pass
15,1,30,46,Pass
22,3,45,70,Distinction
2,1,25,28,Fail
24,3,65,92,Distinction
14,4,30,48,Pass
16,3,42,61,Pass
27,3,48,78,Distinction
25,4,56,85,Distinction
3,0,3,6,Fail
7,1,29,37,Fail
6,2,22,30,Fail
27,4,60,91,Distinction
19,1,37,57,Pass
18,1,28,47,Pass
3,1,25,29,Fail
14,4,42,60,Pass
16,2,39,57,Pass
7,2,19,28,Fail
6,0,9,15,Fail
27,4,49,80,Distinction
21,3,47,71,Distinction
14,4,41,59,Pass
18,1,36,55,Pass
18,1,42,61,Pass
19,1,31,51,Pass
10,1,48,59,Pass
1,1,10,12,Fail
5,0,16,21,Fail
15,2,25,42,At Risk
14,2,46,62,Pass
21,4,46,71,Distinction
22,3,51,76,Distinction
17,3,32,52,Pass
10,1,2,13,Fail
0,2,20,22,Fail
3,1,19,23,Fail
17,4,45,66,Pass
13,4,38,55,Pass
8,1,27,36,Fail
21,3,47,71,Distinction
20,4,64,88,Distinction
26,5,62,93,Distinction
4,2,10,16,Fail
9,0,3,12,Fail
17,3,33,53,Pass
17,2,34,53,Pass
15,4,26,45,Pass
12,1,27,40,At Risk
30,4,45,79,Distinction
16,4,32,52,Pass
30,3,48,81,Distinction
25,5,53,83,Distinction
26,3,57,86,Distinction
24,4,57,85,Distinction
21,2,47,70,Distinction
4,0,2,6,Fail
18,4,26,48,Pass
4,2,28,34,Fail
18,4,30,52,Pass
12,4,36,52,Pass
21,5,56,82,Distinction
14,4,26,44,At Risk
29,3,45,77,Distinction
3,1,8,12,Fail
11,2,35,48,Pass
15,1,29,45,Pass
30,5,45,80,Distinction
1,1,2,4,Fail
21,3,31,55,Pass
3,0,7,10,Fail
2,1,24,27,Fail
4,2,24,30,Fail
13,2,28,43,At Risk
26,3,47,76,Distinction
1,2,0,3,Fail
30,5,46,81,Distinction
15,2,28,45,Pass
12,3,38,53,Pass
10,1,32,43,At Risk
19,2,47,68,Pass
8,2,13,23,Fail
29,5,53,87,Distinction
26,4,53,83,Distinction
16,1,43,60,Pass
27,4,65,96,Distinction
17,1,33,51,Pass
7,0,13,20,Fail
12,1,38,51,Pass
13,3,28,44,At Risk
21,3,58,82,Distinction
17,3,47,67,Pass
10,4,36,50,Pass
11,1,45,57,Pass
3,0,2,5,Fail
14,1,33,48,Pass
23,5,61,89,Distinction
0,0,22,22,Fail
21,2,36,59,Pass
18,3,44,65,Pass
17,1,43,61,Pass
18,1,43,62,Pass
6,1,11,18,Fail
15,4,26,45,Pass
20,3,33,56,Pass
16,2,30,48,Pass
21,3,56,80,Distinction
20,4,43,67,Pass
10,1,37,48,Pass
17,2,27,46,Pass
13,4,41,58,Pass
15,1,38,54,Pass
7,2,19,28,Fail
9,2,20,31,Fail
19,3,46,68,Pass
28,3,61,92,Distinction
17,1,43,61,Pass
26,3,51,80,Distinction
20,2,43,65,Pass
22,1,32,55,Pass
21,4,32,57,Pass
22,4,40,66,Pass
19,3,29,51,Pass
10,1,22,33,Fail
16,1,39,56,Pass
21,4,48,73,Distinction
13,2,29,44,At Risk
11,0,0,11,Fail
12,3,33,48,Pass
28,4,46,78,Distinction
29,4,62,95,Distinction
8,0,6,14,Fail
23,4,65,92,Distinction
25,5,60,90,Distinction
21,3,53,77,Distinction
12,3,25,40,At Risk
9,0,20,29,Fail
28,5,50,83,Distinction
25,5,62,92,Distinction
22,3,33,58,Pass
19,2,36,57,Pass
22,5,56,83,Distinction
26,5,60,91,Distinction
10,0,21,31,Fail
10,4,31,45,Pass
21,1,31,53,Pass
7,0,0,7,Fail
22,3,54,79,Distinction
21,3,35,59,Pass
20,2,35,57,Pass
15,4,29,48,Pass
13,4,36,53,Pass
13,1,37,51,Pass
27,5,47,79,Distinction
23,4,58,85,Distinction
10,1,18,29,Fail
10,0,14,24,Fail
19,1,29,49,Pass
24,5,50,79,Distinction
21,1,41,63,Pass
10,2,29,41,At Risk
22,4,40,66,Pass
24,3,53,80,Distinction
11,1,46,58,Pass
6,2,2,10,Fail
22,3,41,66,Pass
21,1,36,58,Pass
23,5,45,73,Distinction
17,1,27,45,Pass
1,2,3,6,Fail
10,3,42,55,Pass
18,4,43,65,Pass
4,0,16,20,Fail
15,3,45,63,Pass
15,1,39,55,Pass
24,4,55,83,Distinction
14,1,48,63,Pass
19,4,30,53,Pass
2,1,15,18,Fail
3,1,22,26,Fail
15,3,25,43,At Risk
16,3,35,54,Pass
22,4,61,87,Distinction
30,4,63,97,Distinction
13,3,37,53,Pass
18,4,44,66,Pass
0,0,0,0,Fail
22,5,50,77,Distinction
14,1,39,54,Pass
16,4,42,62,Pass
22,2,35,59,Pass
29,4,65,98,Distinction
11,1,48,60,Pass
18,2,39,59,Pass
21,4,61,86,Distinction
6,2,0,8,Fail
14,1,39,54,Pass
7,0,27,34,Fail
10,4,27,41,At Risk
17,3,33,53,Pass
13,2,30,45,Pass
17,3,38,58,Pass
21,3,63,87,Distinction
11,4,41,56,Pass
19,4,40,63,Pass
11,2,37,50,Pass
21,2,31,54,Pass
16,2,48,66,Pass
20,2,31,53,Pass
10,1,33,44,At Risk
12,0,18,30,Fail
18,1,46,65,Pass
6,2,29,37,Fail
13,4,46,63,Pass
1,1,17,19,Fail
13,1,48,62,Pass
13,1,47,61,Pass
21,3,38,62,Pass
27,4,55,86,Distinction
10,3,49,62,Pass
9,0,25,34,Fail
15,2,41,58,Pass
1,0,5,6,Fail
8,0,27,35,Fail
0,2,18,20,Fail
